utt_id,f0_log_mean_norm,f0_log_range_norm,mfcc_0_vowel_var,speaking_rate,jitterLocal_sma3nz_mean,jitterLocal_sma3nz_var,shimmerLocaldB_sma3nz_mean,shimmerLocaldB_sma3nz_var,HNRdBACF_sma3nz_mean,HNRdBACF_sma3nz_var,logRelF0-H1-H2_sma3nz_mean,logRelF0-H1-H2_sma3nz_var,voicing_to_frames_ratio,articulation_rate,a_F2_mean_norm,a_F3_mean_norm
0,0.2822722652548801,0.0283128033065974,3106.1189375535987,7.945280087141781,0.0061045573,0.0002447356528136,0.35472867,0.557541012763977,3.3022518,24.49345970153809,2.8553755,51.54224395751953,0.5119047619047619,10.9347442680776,275.4211366506006,361.0700569473652
2,0.3089033560583711,-0.0236732352353991,3465.15153634822,12.385726924211143,0.012604275,0.0004030572599731,0.63190544,0.5885480046272278,5.6510487,25.79228973388672,6.4833393,113.26898193359376,0.7808219178082192,13.86138613861386,42.646312493276355,271.45943553174357
5,0.1790163168183092,0.4961871501845604,2919.2930565327365,7.801585282129328,0.008439381,0.0008699534810148,0.42874062,0.5172609686851501,4.0978255,26.88789749145508,3.5423026,63.38630676269531,0.6445993031358885,10.483870967741936,291.98208079739084,409.74399829591766
6,0.1910211824937544,-0.179631350861387,3322.398913490585,12.679482604655544,0.007860023,0.0004427933599799,0.47330198,0.4971747696399688,3.3816016,19.19858741760254,1.6650407,44.57368850708008,0.6853146853146853,16.8,123.65745921692292,217.15188376637937
8,0.2609009220023512,-0.087211726786727,4491.294315852845,8.456870764517225,0.0036396023,8.940685074776411e-05,0.3277273,0.5512651801109314,2.9419417,21.65152931213379,1.5224068,28.45168685913086,0.5420560747663551,12.650602409638552,-46.664704525766865,153.79916573331593
10,0.3095965032389296,0.0687463888392608,1893.757838368777,9.16642795760527,0.008885672,0.0003752390330191,0.4859814,0.8442031741142273,4.115868,28.584911346435547,4.321804,59.83025360107422,0.6637168141592921,12.903225806451614,,
11,0.2614494336969581,-0.150750218338055,5748.681355597444,13.480874009998317,0.009377877,0.0005224361084401,0.5737179,0.8289529085159302,4.003142,22.847509384155273,3.2045662,65.05721282958984,0.6770833333333334,16.0427807486631,44.957489741953395,181.90168420899224
15,0.2462459838043651,-0.1276453123193904,2737.3717622411464,6.710758067879834,0.007237945,0.0003054580010939,0.4832502,0.9741125702857972,3.9812276,24.64909553527832,5.3177977,92.79145050048828,0.7023809523809523,11.111111111111107,-3.634784827448811,162.96447042986392
16,0.1787747815947584,-0.1103166328053916,1623.8326596463412,6.900590099033327,0.005779701,0.0001225176820298,0.37169656,0.4433387815952301,4.1154184,23.903627395629883,-0.28463918,51.76552963256836,0.6022727272727273,10.294117647058822,489.8634421229058,518.7712080185165
17,0.2101298828285793,-0.3067083339640429,2128.1188488609328,8.881982259483914,0.004401837,0.000118986594316,0.25661004,0.2395021468400955,2.4875882,16.069910049438477,1.512226,13.208763122558594,0.2459016393442623,14.88095238095238,385.05142661903005,453.57159561541584
18,0.1266000122281729,0.1842709189325854,260.8503424670909,4.342871437108274,0.007830645,0.0001497240882599,0.3454031,0.2678377032279968,4.1340513,24.375431060791016,0.22454982,32.97418212890625,0.82,6.944444444444445,109.88523699470056,239.82120801851624
20,0.2439461422076503,0.051417709325262,3709.742234476932,8.37932562542803,0.013551679,0.0043521793559193,0.53995866,0.4480295777320862,5.394177,24.826934814453125,4.861449,96.18904876708984,0.8507462686567164,9.848484848484848,128.72541853702182,215.9345463244008
27,0.1204675895193547,0.5250682827078906,0.0,6.889260769793472,0.0093488125,0.0009494356345385,0.38475528,0.6407573819160461,2.3629985,16.29820442199707,3.297487,49.42646789550781,0.7681159420289855,12.22222222222222,,
